cod_ibge;municipio;area_km;cod_ra;ra;cod_rm;rm;cod_drs;drs;cod_r_saude;r_saude
35;Estado de São Paulo;248219,48;;Estado de São Paulo;;Estado de São Paulo;;Estado de São Paulo;;Estado de São Paulo
3500000;Sem especificação de município;;;Sem especificação de município;;Sem especificação de município;;Sem especificação de município;;Sem especificação de município
3500105;Adamantina;411,987;11;RA Presidente Prudente;9;Demais municípios;5;DRS Marília;35091;Adamantina
3500204;Adolfo;211,055;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35156;José Bonifácio
3500303;Aguaí;474,554;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35142;Mantiqueira
3500402;Águas da Prata;142,673;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35142;Mantiqueira
3500501;Águas de Lindóia;60,126;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35074;Circuito das Águas
3500550;Águas de Santa Bárbara;404,463;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3500600;Águas de São Pedro;3,612;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35103;Piracicaba
3500709;Agudos;966,708;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
3500758;Alambari;159,6;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35161;Itapetininga
3500808;Alfredo Marcondes;118,915;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3500907;Altair;313,007;14;RA Barretos;9;Demais municípios;16;DRS Barretos;35051;Norte - Barretos
3501004;Altinópolis;928,956;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35133;Vale das Cachoeiras
3501103;Alto Alegre;318,574;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35023;Consórcios do DRS II
3501152;Alumínio;83,619;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3501202;Álvares Florence;362,411;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3501301;Álvares Machado;347,647;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3501400;Álvaro de Carvalho;153,662;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3501509;Alvinlândia;84,879;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3501608;Americana;133,912;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3501707;Américo Brasiliense;122,958;13;RA Central;9;Demais municípios;8;DRS Araraquara;35031;Central do DRS III
